,sig1,sig2,sig3,sig4,sig5,sig6,sig7,sig8,price,return,news_sent,twit_sent,news_heat,neutral_news,news_heat_z,news_sent_z,delta_news,delta_twit,delta_ntr,gap,z_diff,rsi,macd,macd_signal,macd_hist,sma_20
2015-02-18,0,1,1,0,0,0,0,0,18.6685,-0.5486965,0.1686,0.0085,1.0,52.0,-0.30508149437002485,-0.1994216184982531,0.03939999999999999,0.0082,18.0,-0.1601,0.26599866570009156,68.57852632244501,1.155170147503103,1.2098141063392713,-0.05464395883616824,17.6465133
2015-02-19,0,1,0,0,0,0,0,0,18.94975,1.5065432,0.0219,0.0287,0.75,79.0,-0.6323883503826613,-1.1525440420687747,-0.1467,0.0202,27.0,0.0068000000000000005,-0.9531224235705216,71.20174146147941,1.1206318419293204,1.1919776534572812,-0.07134581152796082,17.818200749999995
2015-02-20,0,0,1,0,1,0,0,0,19.183,1.2308836,0.3779,0.0246,0.375,35.0,-1.1108940784756816,1.2020973921245106,0.35600000000000004,-0.0040999999999999995,-44.0,-0.3533,2.3546414341932853,73.20001833361772,1.0994080202754546,1.1734637268209158,-0.07405570654546123,17.996375699999994
2015-02-23,0,0,0,0,0,0,0,0,19.007002,-0.91747046,-0.0146,0.0123,0.667,17.0,-0.6973257304624841,-1.365986607304719,-0.3925,-0.0123,-18.0,0.0269,-2.5680839994292297,69.29296496205966,1.0562110771531898,1.1500131968873706,-0.09380211973418073,18.172575749999996
2015-02-24,0,1,1,0,0,0,0,0,18.929502,-0.40774345,0.1369,0.0112,0.583,56.0,-0.7954466244600028,-0.36084410166738456,0.1515,-0.0011000000000000003,39.0,-0.1257,1.0051425056373344,67.58235833572068,1.0041483886425446,1.1208402352384055,-0.11669184659586085,18.352175799999998
2015-02-25,0,0,1,0,0,0,0,0,19.2685,1.7908335,0.1222,0.0195,0.833,35.0,-0.4426825000623331,-0.45199350425550305,-0.01469999999999999,0.0083,-21.0,-0.1027,-0.09114940258811849,70.9594716683414,0.9789578219901287,1.0924637525887502,-0.11350593059862146,18.5558258
2015-02-26,0,0,0,0,0,0,0,0,19.24,-0.14790893,0.0297,0.0338,1.25,34.0,0.13878636493991267,-1.0476335271764479,-0.0925,0.014299999999999997,-1.0,0.004099999999999996,-0.5956400229209449,70.29644652598598,0.9457919042768097,1.0631293829263622,-0.11733747864955246,18.7383758
2015-02-27,0,1,1,0,0,0,0,0,19.008001,-1.2058139,0.0622,0.001,0.667,80.0,-0.6748702300220202,-0.811798996723182,0.0325,-0.032799999999999996,46.0,-0.0612,0.23583453045326586,64.97429611833567,0.8905219128572384,1.0286078889125374,-0.13808597605529904,18.80245085
2015-03-02,0,0,1,0,0,0,0,0,19.282751,1.4454484,0.0622,0.015,0.583,11.0,-0.7794042061267887,-0.7959400916538356,0.0,0.013999999999999999,-69.0,-0.0472,0.015858905069346396,68.0585147079418,0.8589881940771491,0.9946839499454597,-0.13569575586831062,18.85541335
2015-03-03,0,0,1,0,0,0,0,0,19.2305,-0.27097464,0.0622,0.0162,0.583,48.0,-0.7649909684321586,-0.7809822231628183,0.0,0.0011999999999999997,37.0,-0.046,0.014957868491017323,66.8528684191339,0.820325078861103,0.9598121757285883,-0.1394870968674854,18.90806335
2015-03-04,0,0,1,0,0,0,0,0,19.136,-0.49140453,0.0622,0.0128,0.667,53.0,-0.6337993804484396,-0.7668428695899173,0.0,-0.0033999999999999985,5.0,-0.0494,0.01413935357290097,64.62316273427082,0.7731465688899988,0.9224790543608704,-0.14933248547087163,18.9529883
2015-03-05,0,0,1,0,0,0,0,0,19.3915,1.3351798,0.0622,0.0077,1.0,56.0,-0.1492742321699357,-0.7534497361881974,0.0,-0.0051,3.0,-0.0545,0.013393133401719881,67.7545692917556,0.7477543280990773,0.8875341091085118,-0.13977978100943456,18.987838200000002
2015-03-06,0,0,1,0,0,0,0,0,19.0045,-1.9957244,0.0622,0.0175,1.125,68.0,0.0336553465066703,-0.7407391797646525,0.0,0.009800000000000001,12.0,-0.0447,0.012710556423544905,59.206043321864584,0.6884669106349754,0.8477206694138045,-0.15925375877882908,19.002363050000003
2015-03-09,0,0,1,0,0,0,1,0,18.928,-0.402534,0.0622,-0.0313,0.875,24.0,-0.33313161472742936,-0.7286549202357913,0.0,-0.0488,-44.0,-0.0935,0.012084259528861274,57.657429689195816,0.6280683139250947,0.8037901983160626,-0.17572188439096792,19.022363050000003
2015-03-10,0,0,1,1,0,0,0,0,18.4755,-2.390635,-0.2257,-0.0306,1.292,24.0,0.28805390117634067,-2.512529508527093,-0.2879,0.0007000000000000027,0.0,0.19510000000000002,-1.7838745882913019,49.422765156951854,0.5374931362871536,0.7505307859102808,-0.2130376496231272,19.01365055
2015-03-11,0,1,1,0,1,0,0,0,18.3185,-0.8497715,0.3093,0.0109,1.25,57.0,0.2221675282364171,0.9648702283919783,0.535,0.041499999999999995,33.0,-0.2984,3.4773997369190717,46.91893683215144,0.44788018359318826,0.6900006654468622,-0.24212048185367396,18.99172545
2015-03-12,0,0,1,0,0,0,0,0,18.712,2.1481037,0.057,-0.0058,1.0,52.0,-0.158084263361056,-0.6751652212705465,-0.2523,-0.0167,-5.0,-0.0628,-1.6400354496625247,53.30428141361093,0.4039568709857413,0.632791906554638,-0.22883503556889673,18.9844003
2015-03-13,0,0,1,0,1,0,0,0,18.529,-0.97798705,0.1599,0.0072,0.833,43.0,-0.41102261914650157,0.0015109487241921624,0.10289999999999999,0.013,-9.0,-0.15269999999999997,0.6766761699947386,50.27534062246841,0.3503422315242304,0.5763019715485564,-0.22595974002432606,18.9562753
2015-03-16,0,0,1,0,0,0,0,0,18.667501,0.7474899,0.0862,0.0027,1.375,18.0,0.4273789561364131,-0.4823270637897446,-0.07369999999999999,-0.0045,-25.0,-0.0835,-0.48383801251393677,52.4763649644337,0.3153924686239087,0.5241200709636269,-0.2087276023397182,18.93507535
2015-03-17,0,1,1,0,0,0,0,0,18.596,-0.3830254,0.0927,0.025,1.208,37.0,0.16386277663514517,-0.43393752830882854,0.006500000000000006,0.0223,19.0,-0.06770000000000001,0.04838953548091607,51.21598228746302,0.27871217611085086,0.4750384919930717,-0.19632631588222083,18.92630035
2015-03-18,0,0,1,0,1,0,0,0,18.75675,0.86443424,0.3045,0.0128,0.708,35.0,-0.6197862728230202,0.9767590552026536,0.2118,-0.0122,-2.0,-0.2917,1.4106965835114822,53.896951777425336,0.25962120988425497,0.4319550355713083,-0.17233382568705335,18.930712850000003
2015-03-19,0,1,1,0,0,0,0,0,18.662,-0.50514936,0.0405,0.0087,1.958,72.0,1.335621452140823,-0.7927793811731715,-0.264,-0.004100000000000001,37.0,-0.0318,-1.769538436375825,52.08018271156782,0.23414684933767305,0.39239339832458126,-0.1582465489869082,18.91632535
2015-03-20,0,1,1,0,0,0,0,0,18.9245,1.4065981,0.0981,0.0015,2.292,124.0,1.7913267577490184,-0.398638788213715,0.057600000000000005,-0.0072,52.0,-0.0966,0.39414059295945647,56.45910874924167,0.23246013552667222,0.3604067457649994,-0.1279466102383272,18.903400350000005
2015-03-23,0,0,0,0,0,0,0,0,18.755499,-0.8930266,0.0177,0.01,1.125,25.0,-0.01360858114968656,-0.9315996877531754,-0.0804,0.0085,-99.0,-0.0077,-0.5329608995394604,53.095140553595435,0.21500795649495785,0.33132698791099113,-0.11631903141603328,18.890825200000002
2015-03-24,0,1,1,0,1,0,0,1,18.7045,-0.27191043,0.3687,-0.0162,2.333,62.0,1.8012984684451485,1.4267916427857201,0.35100000000000003,-0.0262,37.0,-0.3849,2.3583913305388955,52.08658274112673,0.1948160674359798,0.30402480381598884,-0.10920873638000905,18.879575100000004
2015-03-25,0,1,1,0,0,0,0,0,18.548002,-0.8366883,0.0623,0.0046,1.667,105.0,0.7727972611390633,-0.638268002548882,-0.3064,0.0208,43.0,-0.0577,-2.0650596453346024,49.01004038812367,0.16429191427084433,0.27607822590695996,-0.11178631163611563,18.843550200000003
2015-03-26,0,0,1,0,1,0,0,1,18.3675,-0.9731591,0.1952,0.021,2.083,61.0,1.376139164526675,0.2630488743365442,0.13290000000000002,0.0164,-44.0,-0.17420000000000002,0.9013168768854263,45.660137928719024,0.12410568698453162,0.2456837181224743,-0.12157803113794269,18.7999252
2015-03-27,0,1,1,0,0,0,0,0,18.528,0.87382793,0.0867,0.0019,1.917,99.0,1.0905966520547805,-0.4549974516806019,-0.10850000000000001,-0.019100000000000002,38.0,-0.0848,-0.7180463260171461,48.99831469590095,0.104009860056685,0.21734894650931644,-0.11333908645263144,18.775925150000003
2015-03-30,0,0,0,0,0,0,0,0,18.7295,1.0875463,0.0,0.0038,1.833,34.0,0.9393338679161559,-1.061067289216896,-0.0867,0.0019,-65.0,0.0038,-0.6060698375362941,52.90950336698978,0.10315404283336704,0.19450996577412655,-0.0913559229407595,18.748262600000004
2015-03-31,0,1,1,0,1,0,0,1,18.605001,-0.66471696,0.1935,0.0035,2.708,110.0,2.1439520569017048,0.31933520131813975,0.1935,-0.0002999999999999999,76.0,-0.19,1.3804024905350358,50.34076683651567,0.09137644195659789,0.17388326101062082,-0.08250681905402293,18.716987650000004
2015-04-01,0,1,1,0,0,0,0,0,18.51275,-0.49583912,0.0935,0.0005,1.75,151.0,0.7120177617194265,-0.4016573817494924,-0.1,-0.003,41.0,-0.093,-0.7209925830676321,48.46323137705135,0.07374859577728543,0.15385632796395374,-0.0801077321866683,18.685825150000003
2015-04-02,0,0,1,0,0,0,0,0,18.612501,0.538826,0.0497,0.0023,0.708,91.0,-0.8256881524429001,-0.7043656456764346,-0.0438,0.0018,-60.0,-0.0474,-0.30270826392694217,50.608356633937454,0.06705451007238494,0.13649596438564,-0.06944145431325505,18.646875200000004
2015-04-03,0,0,1,0,1,0,0,0,18.612501,0.0,0.2162,0.0058,0.458,61.0,-1.1918239749072979,0.47363819267839136,0.1665,0.0034999999999999996,-30.0,-0.2104,1.178003838354826,50.608356633937454,0.06104570206914772,0.12140591192234154,-0.06036020985319382,18.627275250000004
2015-04-06,0,0,0,0,0,0,0,0,18.852003,1.2867808,-0.0115,0.0133,1.0,11.0,-0.3913197834308826,-1.141130641155627,-0.2277,0.0075,-50.0,0.0248,-1.6147688338340185,55.73842961172824,0.07474784164416803,0.11207429786670683,-0.0373264562225388,18.623475400000004
2015-04-07,0,1,1,0,0,0,0,0,18.720503,-0.69754124,0.0719,0.0067,0.792,52.0,-0.6713341291127759,-0.4938543251984632,0.0834,-0.006599999999999999,41.0,-0.06520000000000001,0.6472763159571638,52.51334550008184,0.07414128043777168,0.1044876943809198,-0.030346413943148118,18.635725550000004
2015-04-08,0,0,1,0,0,0,0,0,19.060001,1.8135071,0.0791,0.0042,1.333,75.0,0.139524752935083,-0.4125247924695773,0.007199999999999998,-0.0025000000000000005,23.0,-0.07490000000000001,0.08132953272888588,59.09400511560888,0.09990360108303875,0.10357087572134359,-0.0036672746383048377,18.672800600000002
