,sig1,sig2,sig3,sig4,sig5,sig6,sig7,sig8,price,return,news_sent,twit_sent,news_heat,neutral_news,news_heat_z,news_sent_z,delta_news,delta_twit,delta_ntr,gap,z_diff,rsi,macd,macd_signal,macd_hist,sma_20
2015-02-18,0,1,1,0,0,0,0,0,26.97075,-0.43302178,-0.1128,-0.0271,2.0,38.0,0.1382794103925357,-2.032693202304837,-0.3354,-0.0203,14.0,0.0857,-3.7109091548121977,54.62252640628442,0.5128826973658676,0.5268061952297727,-0.013923497863905121,26.588303899999993
2015-02-19,0,0,1,0,0,0,1,0,27.159616,0.7002592,0.0637,-0.0224,1.167,38.0,-1.1292786138486817,-0.0922908637220105,0.1765,0.004699999999999999,0.0,-0.08610000000000001,1.9404023385828264,56.8477071303192,0.4987035487359428,0.5211856659310067,-0.022482117195063878,26.611042599999998
2015-02-20,0,1,1,0,1,0,0,0,26.9285,-0.8509457,0.0809,0.0004,0.958,40.0,-1.394103216537705,0.09812526747689133,0.017199999999999993,0.0228,2.0,-0.0805,0.19041613119890183,53.39703995609548,0.46347469384086537,0.5096434715129784,-0.046168777672113026,26.610669599999994
2015-02-23,0,0,1,0,0,0,0,0,26.590528,-1.2550771,-0.0366,-0.0061,1.458,18.0,-0.6136774391982371,-1.1898677430774485,-0.1175,-0.006500000000000001,-22.0,0.0305,-1.2879930105543398,48.738031519226844,0.4036312469134842,0.48844102659307953,-0.08480977967959535,26.606395299999992
2015-02-24,0,1,1,0,1,0,0,0,26.77194,0.6822467,0.1319,0.0046,2.292,75.0,0.6669946598037924,0.6899778980646658,0.16849999999999998,0.010700000000000001,57.0,-0.1273,1.8798456411421143,51.19937201875807,0.3666171816921633,0.4640762576128963,-0.097459075920733,26.649785099999992
2015-02-25,0,0,1,0,0,0,0,0,27.203354,1.6114354,0.0553,0.0006,2.917,53.0,1.5682194186159504,-0.1746079955631979,-0.07659999999999999,-0.004,-22.0,-0.0547,-0.8645858936278636,56.543140816752604,0.3678543763855231,0.44483188136742163,-0.07697750498189854,26.73651499999999
2015-02-26,0,1,1,0,1,0,0,1,27.797787,2.185142,0.0889,0.0024,3.167,89.0,1.8391657085379873,0.20788896543206203,0.033600000000000005,0.0018,36.0,-0.08650000000000001,0.3824969609952599,62.61730127202786,0.4120507724970075,0.4382756595933388,-0.026224887096331306,26.85097854999999
2015-02-27,0,0,1,0,0,0,0,0,27.96379,0.59719086,0.1439,0.0025,2.0,56.0,0.11105404097800664,0.8287826724321463,0.05499999999999999,0.00010000000000000026,-33.0,-0.1414,0.6208937070000843,64.12534310901259,0.4552242478265498,0.441665377239981,0.013558870586568794,26.91330474999999
2015-03-02,0,0,1,0,0,0,0,0,28.5796,2.2021651,0.1439,-0.0048,2.875,38.0,1.3719734379509625,0.8123202139160297,0.0,-0.007299999999999999,-18.0,-0.1487,-0.016462458516116607,69.10447670126379,0.5329863239642094,0.4599295665848267,0.07305675737938272,27.01971659999999
2015-03-03,0,1,1,0,0,0,0,0,28.767221,0.65648556,0.0635,-0.0028,3.042,98.0,1.553008190874399,-0.12674883696988962,-0.0804,0.0019999999999999996,60.0,-0.0663,-0.9390690508859193,70.45015314407169,0.6028040266479664,0.4885044585974546,0.11429956805051178,27.13277589999999
