,sig1,sig2,sig3,sig4,sig5,sig6,sig7,sig8,price,return,news_sent,twit_sent,news_heat,neutral_news,news_heat_z,news_sent_z,delta_news,delta_twit,delta_ntr,gap,z_diff,rsi,macd,macd_signal,macd_hist,sma_20
2015-02-18,0,1,1,0,1,0,0,0,76.291466,1.4682531,0.1206,0.0222,1.333,150.0,0.01316028029901006,0.38887978832716474,0.1588,0.0189,80.0,-0.0984,0.9627532635871952,51.21215976975344,-0.12523072962048332,-0.20112039002328982,0.07588966040280651,75.64351725
2015-02-19,0,1,0,0,0,0,0,0,78.98667,3.5327792,0.0421,0.023,1.75,162.0,0.5778760748611314,-0.09522170041731627,-0.0785,0.0007999999999999986,12.0,-0.0191,-0.484101488744481,62.45436615171048,0.15521025669610822,-0.1298542606794102,0.2850645173755184,75.73153325000001
2015-02-20,0,0,1,0,1,0,0,0,79.459076,0.5980849,0.204,0.0414,1.125,131.0,-0.28945152485537556,0.8975961717816131,0.1619,0.0184,-31.0,-0.1626,0.9928178721989294,64.01937607820727,0.410845009431938,-0.021714406657140542,0.43255941608907855,75.83421905000002
2015-02-23,0,0,1,0,0,0,0,0,78.40982,-1.3204813,0.0423,0.0043,0.792,67.0,-0.7440766452111237,-0.1182398100179707,-0.16169999999999998,-0.0371,-64.0,-0.038,-1.015835981799584,58.21514882760926,0.5227453198724703,0.08717753864878162,0.43556778122368867,75.90110105000002
2015-02-24,0,1,1,0,1,0,1,0,78.021965,-0.49467087,0.0666,-0.0281,0.917,127.0,-0.5566236767045328,0.036323172680843695,0.02430000000000001,-0.0324,60.0,-0.0947,0.15456298269881438,56.187263161018834,0.5735192916435778,0.18444588924774086,0.389073402395837,76.03387230000001
2015-02-25,0,1,0,0,0,0,0,0,79.12591,1.4149189,0.0293,0.0175,1.125,151.0,-0.2546005571396968,-0.2022487025893147,-0.03730000000000001,0.0456,24.0,-0.011799999999999998,-0.2385718752701584,60.41405795364439,0.6948276251777088,0.2865222364337344,0.4083053887439744,76.19896680000002
2015-02-26,0,0,1,0,1,0,0,0,79.971275,1.0683894,0.1128,0.0179,1.167,129.0,-0.19109526235205607,0.34003705314754223,0.08349999999999999,0.0003999999999999976,-22.0,-0.0949,0.542285755736857,63.33139544544009,0.8493880275172359,0.3990953946504347,0.45029263286680116,76.31880930000003
2015-02-27,0,1,1,0,0,0,0,0,78.53912,-1.7908275,0.0543,0.0183,0.958,231.0,-0.49118223323111593,-0.04705897146060959,-0.058499999999999996,0.00040000000000000105,102.0,-0.036000000000000004,-0.38709602460815185,55.82540488057928,0.8465567412873298,0.4885876639778137,0.3579690773095161,76.47097360000001
2015-03-02,0,0,1,0,0,0,0,0,79.31487,0.9877205,0.0543,0.0104,1.375,75.0,0.12686898787001266,-0.04650794972678888,0.0,-0.0079,-156.0,-0.0439,0.0005510217338207113,58.6819754054033,0.8965743177022176,0.5701849947226945,0.32638932297952317,76.7076756
2015-03-03,0,0,1,0,0,0,0,0,79.16569,-0.18808842,0.0543,0.0012,0.792,247.0,-0.7364558614991696,-0.045975827737709196,0.0,-0.0092,172.0,-0.0531,0.0005321219890796827,57.90649090379545,0.9136441075691124,0.6388768172919781,0.2747672902771343,76.9165296
2015-03-04,0,0,1,0,0,0,0,0,80.45362,1.6268849,0.0543,0.0042,0.583,147.0,-1.0275758585390915,-0.045461549983870586,0.0,0.003,-100.0,-0.0501,0.0005142777538386101,62.512466234332656,1.0193468305979536,0.7149708199531732,0.30437601064478037,77.1783431
2015-03-05,0,1,1,0,0,0,0,0,80.76691,0.38939714,-0.0454,0.0082,0.625,286.0,-0.9436816063672117,-0.7265647065983243,-0.09970000000000001,0.004000000000000001,139.0,0.0536,-0.6811031566144536,63.55708667683485,1.1155376611123131,0.7950841881850013,0.32045347292731186,77.4565671
2015-03-06,0,0,0,0,0,0,0,0,79.56848,-1.48381,0.0,0.0081,0.0,128.0,-1.7986536040828067,-0.4038839082763759,0.0454,-0.00010000000000000113,-158.0,0.0081,0.3226807983219484,57.0123602988218,1.0825869139527668,0.8525847333385543,0.23000218061421251,77.7318066
2015-03-09,0,0,0,0,0,0,0,0,79.00657,-0.7062018,0.0,0.0116,0.0,74.0,-1.7203415587371393,-0.3989515426522834,0.0,0.0034999999999999996,-54.0,0.0116,0.004932365624092494,54.1944874157911,0.9996088993525234,0.8819895665413482,0.1176193328111752,77.9804426
2015-03-10,0,0,0,0,0,0,0,0,77.126884,-2.3791552,0.0,0.0064,0.75,94.0,-0.6321010669784194,-0.3941961136676125,0.0,-0.005199999999999999,20.0,0.0064,0.004755428984670906,46.00333635119882,0.7732596184053051,0.8602435769141396,-0.08698395850883445,78.0977993
2015-03-11,0,0,1,0,1,0,0,0,77.146774,0.02578497,0.1257,-0.004,0.25,85.0,-1.3173627931107554,0.503221055037761,0.1257,-0.0104,-9.0,-0.1297,0.8974171687053736,46.09617814876283,0.5886950294192417,0.8059338674151599,-0.21723883799591825,78.15051000000001
2015-03-12,0,0,1,0,0,0,0,0,78.499344,1.7532587,-0.0591,-0.014,0.25,79.0,-1.281882148777973,-0.8220224428511388,-0.18480000000000002,-0.01,-6.0,0.0451,-1.3252434978888998,52.12453891275993,0.5452816901347859,0.7538034319590852,-0.20852174182429928,78.2847732
2015-03-13,0,0,1,0,0,0,0,0,77.62415,-1.1149108,-0.3275,0.0188,0.458,51.0,-0.9664865277290773,-2.556997192634625,-0.2684,0.0328,-28.0,0.3463,-1.7349747497834862,48.356110238905806,0.43523830818672593,0.6900904072046133,-0.2548520990178874,78.39964320000001
2015-03-16,0,1,1,0,1,0,0,0,77.644035,0.025618076,0.1501,0.0018,0.875,63.0,-0.36767491593143115,0.6983500659547863,0.4776,-0.017,12.0,-0.14830000000000002,3.2553472585894117,48.44730615374912,0.34564827038484225,0.6212019798406592,-0.2755537094558169,78.51550745000002
2015-03-17,0,1,1,0,0,0,0,0,78.93198,1.6587615,0.0821,0.0163,1.5,81.0,0.5250899905950683,0.22881750664217673,-0.068,0.014499999999999999,18.0,-0.06580000000000001,-0.4695325593126096,54.100812015942715,0.3742596849801174,0.5718135208685509,-0.19755383588843345,78.70273045000002
2015-03-18,0,1,1,0,0,0,0,0,80.468544,1.9467115,0.2057,0.0034,1.417,126.0,0.40053309433387424,1.064298619734745,0.12359999999999999,-0.012899999999999998,45.0,-0.2023,0.8354811130925683,59.769241215634494,0.5149858737943163,0.5604479914537039,-0.04546211765938768,78.91158435000003
2015-03-19,0,0,1,0,0,0,0,0,82.2985,2.2741318,-0.1163,0.0171,1.625,90.0,0.69478254763829,-1.1407680015352977,-0.322,0.0137,-36.0,0.1334,-2.205066621270043,65.27015946005092,0.7653520459559218,0.6014288023541475,0.16392324360177424,79.07717585000003
2015-03-20,0,0,1,0,1,0,0,0,83.34278,1.2688875,0.2007,0.0624,1.583,78.0,0.6253053231809025,1.0281978432894137,0.317,0.04529999999999999,-12.0,-0.13829999999999998,2.1689658448247116,67.96230895125156,1.0360903056727864,0.6883611030178753,0.34772920265491103,79.27136105000002
2015-03-23,0,0,1,0,0,0,1,0,83.969345,0.75178146,-0.0743,0.0552,1.25,47.0,0.13279651258181324,-0.8556453279185637,-0.275,-0.007199999999999998,-31.0,0.1295,-1.8838431712079773,69.49045870306303,1.2863822720529754,0.8079653368248954,0.47841693522808004,79.54933730000002
2015-03-24,1,1,1,0,1,0,0,1,84.84454,1.0422826,0.0671,0.0178,1.875,186.0,1.043811165827364,0.12101803099447453,0.14140000000000003,-0.0374,139.0,-0.04930000000000001,0.9766633589130382,71.53299535417165,1.537636464834577,0.9538995624268317,0.5837369024077453,79.89046605000003
2015-03-25,0,1,0,0,0,0,0,0,82.46758,-2.8015494,0.0471,0.0273,2.458,194.0,1.8378454948511602,-0.018329378889757306,-0.020000000000000004,0.009500000000000001,8.0,-0.0198,-0.13934740988423183,59.81967642330531,1.5273500749645024,1.0685896649343658,0.45876041003013657,80.05754955000003
2015-03-26,0,1,0,0,0,0,0,0,82.55708,0.10854006,0.0299,0.002,2.042,372.0,1.2069788850110406,-0.13817958757869453,-0.017200000000000003,-0.025300000000000003,178.0,-0.0279,-0.11985020868893723,60.08470866276298,1.509024839881505,1.1566766999237936,0.3523481399577113,80.18683980000003
2015-03-27,0,0,1,0,0,0,0,0,82.84551,0.34935474,0.0489,0.005,1.208,235.0,-0.028208650050634956,-0.010541597908645919,0.019,0.003,-137.0,-0.0439,0.1276379896700486,60.97800755400563,1.5004792586639866,1.2254372116718322,0.2750420469921544,80.40215930000004
2015-03-30,0,0,1,0,1,0,0,0,82.741066,-0.1260519,0.0827,0.0157,0.667,42.0,-0.8022693094877118,0.21758796370168032,0.0338,0.010699999999999998,-193.0,-0.067,0.22812956161032624,60.45043201670271,1.468352808893414,1.2740203311161484,0.19433247777726548,80.57346910000004
2015-03-31,0,1,1,0,0,0,0,0,81.76643,-1.1779606,0.1328,0.013,0.958,105.0,-0.3592167290253933,0.5803012636603696,0.050100000000000006,-0.0026999999999999993,63.0,-0.1198,0.3627132999586893,55.614879986557476,1.3487004074048485,1.2889563463738885,0.05974406103096008,80.70350610000004
2015-04-01,0,1,1,0,0,0,0,0,81.21943,-0.66897273,0.0795,0.0055,0.542,119.0,-0.9581559982302564,0.196806087194599,-0.0533,-0.0075,14.0,-0.074,-0.3834951764657706,53.050030691204206,1.1959505155559214,1.270355180210295,-0.07440466465437368,80.74179660000004
2015-04-02,0,0,0,0,0,0,0,0,81.110016,-0.13469458,0.0669,0.0441,0.875,116.0,-0.4649849185954071,0.10782401099204077,-0.0126,0.0386,-3.0,-0.0228,-0.08898207620255823,52.528195240092614,1.053917426323224,1.2270676294328808,-0.1731502031096568,80.75895190000004
2015-04-03,0,0,1,0,0,0,0,0,81.110016,0.0,0.1348,0.0126,0.0,82.0,-1.6748041309191128,0.5884524409740867,0.0679,-0.0315,-34.0,-0.1222,0.4806284299820459,52.528195240092614,0.9306274854563128,1.1677796006375671,-0.23715211518125434,80.83602870000006
2015-04-06,0,0,1,0,0,0,1,0,81.990204,1.0851622,-0.0212,0.0242,0.875,50.0,-0.4135987868774416,-0.5174839509329847,-0.156,0.0116,-32.0,0.045399999999999996,-1.1059363919070715,56.5186540638026,0.8936417883616627,1.1129520381823863,-0.21931024982072356,80.98521040000006
2015-04-07,0,1,1,0,0,0,0,0,81.87086,-0.14556646,-0.0939,0.0095,0.917,80.0,-0.332635827809762,-1.0039299997220075,-0.0727,-0.0147,30.0,0.10339999999999999,-0.48644604878902276,55.83333862043889,0.8449601192605911,1.0593536543980273,-0.2143935351374362,81.22240920000004
2015-04-08,0,1,1,0,0,0,0,0,81.8261,-0.05466342,-0.0406,0.0045,0.583,107.0,-0.7921523014998716,-0.6155786522818624,0.0533,-0.005,27.0,0.045099999999999994,0.3883513474401451,55.56122848489561,0.7936194369818566,1.0062068109147932,-0.2125873739329367,81.45637550000005
2015-04-09,0,0,1,0,0,0,0,0,81.72167,-0.12762547,-0.084,-0.1835,0.708,94.0,-0.5804225166643404,-0.9005570518344214,-0.04340000000000001,-0.188,-13.0,-0.09949999999999999,-0.284978399552559,54.889092641320424,0.7360205612707915,0.9521695609859929,-0.2161489997152014,81.61749180000004
2015-04-10,0,0,1,0,0,0,0,0,81.59237,-0.15820265,-0.4474,-0.0038,0.375,78.0,-1.0718378255491565,-3.0911794859288295,-0.3634,0.1797,-16.0,0.4436,-2.1906224340944083,54.01776842303892,0.6721910083772684,0.896173850464248,-0.2239828420869796,81.81590280000003
2015-04-13,0,0,0,0,0,0,0,0,82.55708,1.1823535,0.0252,0.0039,0.542,46.0,-0.8330262585755563,-0.07320240304934643,0.4726,0.0077,-32.0,-0.0213,3.017977082879483,59.21930116226308,0.6914787261002715,0.8552348255914527,-0.1637560994911812,82.06155505000004
2015-04-14,0,1,1,0,1,0,0,0,83.05933,0.60836077,0.1325,0.0206,0.958,71.0,-0.17575331271658653,0.592730002655272,0.1073,0.0167,25.0,-0.1119,0.6659324057046184,61.65149181119379,0.738775613477543,0.8319429831686708,-0.09316736969112782,82.26792255000004
2015-04-15,0,1,1,0,0,0,0,0,82.25375,-0.9698808,0.0749,0.0271,1.125,129.0,0.09171510788963709,0.22772818814767856,-0.05760000000000001,0.006499999999999999,58.0,-0.047799999999999995,-0.3650018145075934,55.89342034560245,0.7031496920383375,0.8061843249426042,-0.10303463290426662,82.35718285000004
2015-04-16,0,1,1,0,0,0,1,0,81.8609,-0.47760606,0.0428,-0.0498,0.75,149.0,-0.4745687018739333,0.008760495602939405,-0.0321,-0.0769,20.0,-0.09259999999999999,-0.21896769254473916,53.28005062437218,0.6358860818846779,0.7721246763310189,-0.136238594446341,82.33530285000003
2015-04-17,0,0,1,0,0,0,0,0,80.33428,-1.8648982,0.0476,0.0061,0.917,130.0,-0.21517647010561497,0.03975449722247327,0.004800000000000006,0.0559,-19.0,-0.0415,0.030994001619533862,44.5607519778669,0.4541584547627622,0.7085314320173676,-0.2543729772546054,82.18487785000003
2015-04-20,0,0,1,0,0,0,0,0,82.63665,2.865982,0.085,0.0258,1.542,84.0,0.7522824829866227,0.27549923730791365,0.0374,0.0197,-46.0,-0.0592,0.23574474008544039,56.20201089977574,0.49026850810298583,0.6648788472344912,-0.17461033913150537,82.11824310000003
2015-04-21,0,1,1,0,0,0,1,0,83.16376,0.63786507,0.1433,-0.092,1.792,102.0,1.3042501371685227,0.6252270967407428,0.058300000000000005,-0.1178,18.0,-0.2353,0.3497278594328292,58.357898324223115,0.5550214158982811,0.6429073609672492,-0.08788594506896807,82.03420410000003
2015-04-22,1,1,1,0,0,0,0,0,84.16824,1.2078404,0.143,0.0184,2.792,135.0,2.933896776113323,0.6004839203642443,-0.00030000000000002247,0.1104,33.0,-0.12459999999999999,-0.024743176376498588,62.178528901357154,0.6795581793743963,0.6502375246486787,0.029320654725717654,82.11923710000002
2015-04-23,0,1,1,0,0,0,0,0,81.96035,-2.6231766,0.3662,0.1168,2.75,300.0,2.8529054688510342,2.2305823069421447,0.22320000000000004,0.0984,165.0,-0.2494,1.6300983865779004,51.0840155504121,0.5932574877460013,0.6388415172681432,-0.04558402952214191,82.08940060000002
2015-04-24,0,0,1,0,0,0,0,0,81.08516,-1.0678351,0.5505,0.0316,1.208,104.0,0.2952919073944388,3.6823849784225096,0.18429999999999996,-0.0852,-196.0,-0.5189,1.451802671480365,47.46840185828424,0.44906649017109146,0.6008865118487329,-0.15182002167764141,82.00138310000003
2015-04-27,0,0,1,0,0,0,0,0,81.46309,0.4660964,0.0949,0.0503,0.75,41.0,-0.46278355302876406,0.31907743060383026,-0.4556,0.018699999999999994,-63.0,-0.0446,-3.363307547818679,49.142368610147216,0.3611270306446386,0.552934615607914,-0.19180758496327543,81.93748430000002
2015-04-28,0,1,1,0,0,0,0,0,80.2398,-1.5016496,0.0945,0.0104,0.833,130.0,-0.31437632510289687,0.3280779143524695,-0.0003999999999999976,-0.0399,89.0,-0.08410000000000001,0.009000483748639265,44.22944057845757,0.1905287984726982,0.4804534521808709,-0.28992465370817266,81.86115280000003
2015-04-29,0,0,1,0,0,0,1,0,80.02597,-0.26649237,0.042,-0.0633,1.125,125.0,0.17314338936962098,-0.06878352696589402,-0.0525,-0.07369999999999999,-5.0,-0.1053,-0.39686144131836354,43.41243992064577,0.03764028268587083,0.3918908182818709,-0.35425053559600006,81.80147980000001
2015-04-30,0,1,1,0,0,0,1,0,78.34022,-2.1065056,0.0391,-0.0261,1.0,130.0,-0.040726413263261305,-0.10089710582198605,-0.0029,0.0372,5.0,-0.06520000000000001,-0.032113578856092034,37.527174636462355,-0.2170488995708837,0.27010287471132,-0.4871517742822037,81.66299000000001
2015-05-01,0,0,1,0,0,0,1,0,78.55902,0.27929544,0.0476,-0.0357,0.75,75.0,-0.4594352542152264,-0.026672870191723028,0.0085,-0.009600000000000001,-55.0,-0.08330000000000001,0.07422423563026302,38.68896909280923,-0.3966640833951658,0.13674948309002283,-0.5334135664851887,81.53544020000001
2015-05-04,0,1,1,0,1,0,0,0,78.38,-0.22787452,0.0599,0.0002,1.167,103.0,0.22461189854678254,0.0817975849754177,0.012299999999999998,0.0359,28.0,-0.0597,0.10847045516714073,38.065226375833255,-0.5471486395720717,-3.014144239610328e-05,-0.5471184981296756,81.35493000000001
