,sig1,sig2,sig3,sig4,sig5,sig6,sig7,sig8,price,return,news_sent,twit_sent,news_heat,neutral_news,news_heat_z,news_sent_z,delta_news,delta_twit,delta_ntr,gap,z_diff,rsi,macd,macd_signal,macd_hist,sma_20
2015-02-18,0,1,1,0,0,0,0,0,67.86564,1.085186,0.0686,0.0086,0.5,23.0,-1.464178165307837,-0.4370363506384015,-0.1365,0.0049,3.0,-0.06,-0.8498068936482595,76.04792903604516,5.363421201904771,6.554914899820151,-1.19149369791538,64.43211465
2015-02-19,0,0,1,0,0,0,0,0,67.79993,-0.096827745,0.0691,0.0052,0.625,25.0,-1.2534491044014817,-0.42661803666422,0.0005000000000000004,-0.0034000000000000002,2.0,-0.0639,0.010418313974181526,75.63604828141953,5.143390281326695,6.27260997612146,-1.1292196947947648,64.76182845
2015-02-20,0,0,0,0,0,0,0,0,68.31422,0.75854063,0.0166,0.0043,0.542,17.0,-1.3071762228874322,-0.7480136601529335,-0.05249999999999999,-0.0008999999999999998,-8.0,-0.0123,-0.3213956234887135,76.6997174983021,4.95341323208374,6.0087706273139165,-1.0553573952301765,65.0528641
2015-02-23,0,0,1,0,0,0,0,0,67.40564,-1.3299942,0.0632,0.0051,0.792,13.0,-0.9643932348502545,-0.4390103747953555,0.0466,0.0008000000000000004,-4.0,-0.058100000000000006,0.309003285357578,70.81752314472268,4.675642344704407,5.7421449707920145,-1.0665026260876074,65.2334351
2015-02-24,0,1,1,0,0,0,0,0,67.839935,0.64430237,0.0926,0.0018,1.0,52.0,-0.6872218090968464,-0.2430037881943803,0.029399999999999996,-0.0033000000000000004,39.0,-0.0908,0.1960065866009752,71.92582718040428,4.439376523028798,5.481591281239371,-1.042214758210573,65.38136384999999
2015-02-25,0,1,0,0,0,0,0,0,68.33278,0.72648525,0.023,0.0009,1.208,60.0,-0.41548096004472757,-0.6915774514438059,-0.0696,-0.0009,8.0,-0.022099999999999998,-0.4485736632494256,73.17105980679129,4.242992058490614,5.23387143668962,-0.990879378199006,65.63757745
2015-02-26,0,0,1,0,0,0,0,0,69.00421,0.9825945,0.0557,0.0007,1.833,60.0,0.38548199274667044,-0.4659246868792049,0.0327,-0.00019999999999999998,0.0,-0.055,0.22565276456460098,74.81029643337995,4.094337767943706,5.005964702940437,-0.9116269349967308,65.91779075
2015-02-27,0,0,1,0,0,0,0,0,67.844215,-1.6810536,0.0473,0.0,1.917,176.0,0.48766448655379274,-0.5146228680381109,-0.008399999999999998,-0.0007,116.0,-0.0473,-0.04869818115890595,67.17405333958504,3.8386763976526055,4.772507041882871,-0.9338306442302651,66.1542905
2015-03-02,0,0,1,0,0,0,0,0,68.60707,1.1244178,0.0473,0.0006,1.125,33.0,-0.547102225547668,-0.5069750810061959,0.0,0.0006,-143.0,-0.0467,0.007647787031914932,69.38711347233173,3.655480835200578,4.549101800546412,-0.8936209653458338,66.43418260000001
2015-03-03,0,0,1,0,0,0,0,0,67.81564,-1.1535645,0.0473,0.0017,1.167,91.0,-0.4842983192403698,-0.49966002837979734,0.0,0.0010999999999999998,58.0,-0.0456,0.007315052626398588,64.52672717149635,3.4071596300293123,4.320713366442992,-0.9135537364136797,66.56125360000001
2015-03-04,0,0,1,0,0,0,0,0,67.109924,-1.0406435,0.0473,0.0008,1.375,64.0,-0.20299043178588594,-0.4926541776610754,0.0,-0.0008999999999999999,-27.0,-0.0465,0.007005850718721951,60.45984899046388,3.117481516233852,4.080066996401164,-0.9625854801673119,66.7116816
2015-03-05,0,0,1,0,0,0,0,0,66.80707,-0.45128465,0.0473,-0.0016,0.75,78.0,-1.0263123484919696,-0.4859362684273799,0.0,-0.0024000000000000002,14.0,-0.0489,0.006717909233695474,58.748623447057824,2.8308395807389957,3.83022151326873,-0.9993819325297344,66.84553810000001
2015-03-06,0,0,1,0,0,0,0,0,64.87422,-2.8931737,0.0473,-0.0003,0.667,61.0,-1.110705409800297,-0.47948703730614667,0.0,0.0013000000000000002,-17.0,-0.0476,0.006449231121233245,49.18131355997309,2.4198148212403083,3.548140174863046,-1.1283253536227376,66.91525235
2015-03-09,0,0,1,0,0,0,0,0,63.66136,-1.8695593,0.0473,-0.0021,1.417,43.0,-0.09649892365647358,-0.4732889826312198,0.0,-0.0018,-18.0,-0.0494,0.006198054674926845,44.305500987934316,1.9734582738126676,3.23320379465297,-1.2597455208403026,66.93357370000001
2015-03-10,0,0,1,0,0,0,0,0,62.15137,-2.3719132,0.0473,-0.0064,2.125,82.0,0.8546250665437187,-0.46732616218001927,0.0,-0.0043,39.0,-0.053700000000000005,0.005962820451200557,39.107302898581096,1.4808041323942973,2.8827238622012357,-1.4019197298069384,66.79864520000001
2015-03-11,0,0,1,0,0,0,0,0,62.884224,1.1791468,0.0435,-0.0018,1.125,78.0,-0.5082574589593809,-0.4886368579998944,-0.0038000000000000048,0.0046,-4.0,-0.0453,-0.02131069581987516,42.625667894978335,1.1364075699452059,2.53346060375003,-1.397053033804824,66.69364540000001
2015-03-12,0,0,1,0,1,0,0,0,64.04565,1.8469214,0.1349,0.0064,0.625,39.0,-1.169510424280225,0.17690670433813682,0.0914,0.0082,-39.0,-0.1285,0.6655435623380312,47.775669093398484,0.9462800572577947,2.216024494451583,-1.269744437193788,66.6335739
2015-03-13,0,1,1,0,0,0,0,0,62.628517,-2.2126853,0.0562,0.0084,0.542,48.0,-1.2507482246592834,-0.3989453888396257,-0.07869999999999999,0.001999999999999999,9.0,-0.0478,-0.5758520931777625,42.73511463662616,0.6734882902547525,1.9075172536122167,-1.2340289633574641,66.43571725000001
2015-03-16,0,0,1,1,0,0,0,0,60.28137,-3.7477314,-0.032,-0.1125,2.0,21.0,0.7300282260830468,-1.0337248802534869,-0.0882,-0.12090000000000001,-27.0,-0.0805,-0.6347794914138611,35.96670614366995,0.2648506689246801,1.5789839366747094,-1.3141332677500293,66.12050325
