,sig1,sig2,sig3,sig4,sig5,sig6,sig7,sig8,price,return,news_sent,twit_sent,news_heat,neutral_news,news_heat_z,news_sent_z,delta_news,delta_twit,delta_ntr,gap,z_diff,rsi,macd,macd_signal,macd_hist,sma_20
2015-02-18,0,1,1,0,1,0,0,0,62.52678,-0.64606667,0.2701,0.4264,1.1667,20.0,-0.10322416131560729,0.2830752928345861,0.2343,0.4257,11.0,0.1563,0.8432625061925295,57.183127455059655,0.7191059303174256,0.3647762386477677,0.35432969166965794,60.773895100000004
2015-02-19,0,1,1,0,0,0,0,0,62.522152,-0.0074267387,-0.2216,-0.0124,1.7917,27.0,0.6802486402377146,-1.451452291128031,-0.4917,-0.4388,7.0,0.2092,-1.734527583962617,57.1491153586289,0.7276237460072252,0.4373457401196592,0.290278005887566,60.912919450000004
2015-02-20,0,0,1,0,1,0,0,0,63.42827,1.449275,0.2229,-0.0119,1.0,13.0,-0.33342391946413125,0.14849783507819844,0.4445,0.0004999999999999987,-14.0,-0.23479999999999998,1.5999501262062295,61.92429331498553,0.7982881572057039,0.5095342235368682,0.2887539336688357,61.08924875
2015-02-23,0,0,1,0,0,0,0,0,63.43057,0.0036716461,0.1209,0.0564,0.625,1.0,-0.8038528785360441,-0.22124931170904985,-0.102,0.0683,-12.0,-0.0645,-0.3697471467872483,61.93588838108437,0.8447381869799457,0.5765750162254837,0.26816317075446205,61.28610175
2015-02-24,0,1,1,0,1,0,0,0,63.305145,-0.19779801,0.19,0.0019,1.125,14.0,-0.14700634559182382,0.03430706185597051,0.06910000000000001,-0.0545,13.0,-0.1881,0.25555637356502037,60.847684502652776,0.8614986013389156,0.63355973324817,0.2279388680907456,61.54092390000001
2015-02-25,0,0,0,0,0,0,0,0,63.43057,0.19818544,0.165,0.1646,0.5833,13.0,-0.8468747243511185,-0.05883880134692184,-0.024999999999999994,0.16269999999999998,-1.0,-0.00040000000000001146,-0.09314586320289235,61.57474301287542,0.87481774533709,0.6818113356659541,0.19300640967113591,61.855706700000006
2015-02-26,0,0,0,0,0,0,0,0,63.60249,0.27104616,0.0309,0.0362,1.1667,6.0,-0.06883414675772062,-0.5599417254312246,-0.1341,-0.1284,-7.0,0.005300000000000003,-0.5011029240843027,62.59994887909821,0.8889979550754106,0.7232486595478453,0.16574929552756523,62.16006805000001
2015-02-27,0,0,0,0,0,0,0,0,63.035625,-0.89132786,0.0388,0.0224,1.4583,16.0,0.32037154544743646,-0.5214450268571966,0.0079,-0.013800000000000003,10.0,-0.0164,0.03849669857402793,57.18249381696195,0.8447567751829226,0.7475502826748608,0.09720649250806179,62.35595880000001
2015-03-02,0,0,1,0,0,0,0,0,64.657326,2.5727034,0.0388,0.0067,3.125,62.0,2.3769807325044265,-0.5136518404027148,0.0,-0.0157,46.0,-0.032100000000000004,0.007793186454481793,66.19553295666663,0.9298344858063814,0.784007123301165,0.14582736250521644,62.62794960000001
2015-03-03,0,0,1,0,0,0,0,0,63.96263,-1.0744274,0.0388,0.0052,1.9167,78.0,0.8135230967196785,-0.5061996130978952,0.0,-0.0015000000000000005,16.0,-0.033600000000000005,0.0074522273048196475,60.3363431134304,0.9304770626674213,0.8133011111744162,0.11717595149300508,62.81360360000001
